"","Year","Grid","GridYear","num_trees","cone_counts","cone_index_t","cone_index_tm1","total_cones","mast","Exp","EXP_label"
"84",2009,"JO","JO2009",187,22.6737967914438,1.58634618494355,0.650819890600662,69.8294783986359,"n","f",19
"85",2009,"KL","KL2009",84,29.25,1.74604863099651,0.775111227419282,93.1633099884652,"n","c",1
"86",2009,"LL","LL2009",149,28.7181208053691,1.86480385778074,0.521305714462981,88.6344339054047,"n","f",19
"87",2009,"SU","SU2009",86,12.5348837209302,1.01632111975453,0.458215034498528,38.1971467619229,"n","c",1
"88",2010,"AG","AG2010",126,231.063492063492,3.73704967748009,0.900470233416917,1024.96607184843,"y","f",19
"89",2010,"CH","CH2010",126,264.865079365079,4.629090908501,1.13824921434209,1115.41791436352,"y","c",1
"90",2010,"JO","JO2010",192,396.151041666667,4.64986682202269,1.58634618494355,1840.24610216915,"y","f",19
"91",2010,"KL","KL2010",81,415.765432098765,5.12964811947721,1.74604863099651,1871.95679115854,"y","c",1
"92",2010,"LL","LL2010",147,492.823129251701,5.10418584210332,1.86480385778074,2379.75610607016,"y","f",19
"93",2010,"SU","SU2010",86,269.651162790698,4.71983833004188,1.01632111975453,1155.8398091468,"y","c",1
"94",2011,"AG","AG2011",126,0.0317460317460317,0.01277331676535,3.73704967748009,0.0601039823743917,"n","f",19
"95",2011,"CH","CH2011",126,1.11111111111111,0.290589729297335,4.629090908501,2.35301276041702,"n","c",1
"96",2011,"JO","JO2011",185,0.0108108108108108,0.00749348303308049,4.64986682202269,0.0199045658456746,"n","f",19
"97",2011,"KL","KL2011",84,0.0238095238095238,0.0165035042990463,5.12964811947721,0.0371940942641303,"n","c",1
"98",2011,"LL","LL2011",145,0.317241379310345,0.0653586419117509,5.10418584210332,0.707251052661586,"n","f",19
"99",2011,"SU","SU2011",86,0.0465116279069767,0.0187143943306291,4.71983833004188,0.0854894829801974,"n","c",1
"100",2012,"AG","AG2012",122,10.8196721311475,1.24502659180238,0.01277331676535,29.7537509632569,"n","f",19
"101",2012,"CH","CH2012",76,30.2894736842105,2.07298215399241,0.290589729297335,96.5434881767034,"n","c",1
"102",2012,"JO","JO2012",190,15.4894736842105,1.39871762890674,0.00749348303308049,44.9475841504016,"n","f",19
"103",2012,"KL","KL2012",84,39.5952380952381,2.26224554550813,0.0165035042990463,129.998430383581,"n","c",1
"104",2012,"LL","LL2012",102,31.1176470588235,2.1206593457803,0.0653586419117509,96.6499649648937,"n","c",1
"105",2012,"SU","SU2012",77,12.4285714285714,1.05011523969894,0.0187143943306291,36.241318339095,"n","c",1
"106",2013,"AG","AG2013",125,16.512,1.45918028713788,1.24502659180238,47.75297508354,"n","f",19
"107",2013,"CH","CH2013",80,54.625,3.14077058741103,2.07298215399241,172.952641969026,"n","c",1
"108",2013,"JO","JO2013",190,29.2421052631579,1.85372237782278,1.39871762890674,93.921496605244,"n","c",1
"109",2013,"KL","KL2013",84,46.8095238095238,2.58606650714206,2.26224554550813,152.5742065443,"n","c",1
"110",2013,"LL","LL2013",102,46.5196078431373,2.69647099071604,2.1206593457803,147.400899525303,"n","c",1
"111",2013,"SU","SU2013",83,20.6265060240964,2.06010515786152,1.05011523969894,59.0052950946007,"n","c",1
"112",2014,"AG","AG2014",126,138.571428571429,3.92173718541744,1.45918028713788,541.498034991487,"y","f",19
"113",2014,"CH","CH2014",81,304.456790123457,5.26162690822596,3.14077058741103,1269.14640368228,"y","c",1
"114",2014,"JO","JO2014",85,260.917647058824,4.6519754976326,1.85372237782278,1116.7367660709,"y","c",1
"115",2014,"KL","KL2014",80,345.5875,5.01362327092466,2.58606650714206,1496.20102325682,"y","c",1
"116",2014,"LL","LL2014",102,316.235294117647,4.74486132716958,2.69647099071604,1400.27965094663,"y","c",1
"117",2014,"SU","SU2014",79,79.7974683544304,3.85827643286645,2.06010515786152,263.341788324309,"y","c",1
"118",2015,"AG","AG2015",126,0,0,3.92173718541744,0.00552515607190955,"n","f",19
"119",2015,"CH","CH2015",81,0,0,5.26162690822596,0.00552515607190955,"n","c",1
"120",2015,"JO","JO2015",85,0,0,4.6519754976326,0.00552515607190955,"n","c",1
"121",2015,"KL","KL2015",84,0,0,5.01362327092466,0.00552515607190955,"n","c",1
"122",2015,"LL","LL2015",102,0,0,4.74486132716958,0.00552515607190955,"n","c",1
"123",2015,"SU","SU2015",83,0,0,3.85827643286645,0.00552515607190955,"n","c",1
"124",2016,"AG","AG2016",126,1.56349206349206,0.385431561719687,0,3.3720092181168,"n","f",19
"125",2016,"CH","CH2016",81,3.65432098765432,0.719148064661382,0,8.20636735545361,"n","c",1
"126",2016,"JO","JO2016",85,0.294117647058824,0.1080228340877,0,0.537489802789852,"n","c",1
"127",2016,"KL","KL2016",84,1.14285714285714,0.314072879827348,0,2.34202450816927,"n","c",1
"128",2016,"LL","LL2016",102,3.96078431372549,0.75701089930463,0,9.06486083678675,"n","c",1
"129",2016,"SU","SU2016",83,1.5421686746988,0.419754976854069,0,3.11751562750096,"n","c",1
"130",2017,"AG","AG2017",126,20.8174603174603,1.78405749334044,0.385431561719687,62.9745988019131,"n","f",19
"131",2017,"CH","CH2017",100,19.15,1.90874069053398,0.719148064661382,55.1164241043571,"n","c",1
"132",2017,"JO","JO2017",85,15.6823529411765,1.74561693957041,0.1080228340877,42.4112723224028,"n","c",1
"133",2017,"KL","KL2017",84,21.4285714285714,2.04476444590038,0.314072879827348,60.1895689369162,"n","c",1
"134",2017,"LL","LL2017",102,31.2450980392157,2.41627905501538,0.75701089930463,93.9366239679232,"n","c",1
"135",2017,"SU","SU2017",86,15.4651162790698,1.47066329700388,0.419754976854069,44.4792123155485,"n","c",1
